ID,Name,Street,City,State,Zip,Address,latitude,longitude
78,Business Center Etc Inc,3480 Greenbriar Pkwy Sw,Atlanta,GA,30331,"3480 Greenbriar Pkwy Sw,Atlanta,GA,30331 ",33.6828859,-84.5026391
79,Cash America Pawn,126 Cleveland Avenue Southwest,Atlanta,GA,30315,"126 Cleveland Avenue Southwest,Atlanta,GA,30315 ",33.6808273,-84.3932426
80,Cash America Pawn Regional Office,3850 Jonesboro Road Southeast,Atlanta,GA,30354,"3850 Jonesboro Road Southeast,Atlanta,GA,30354 ",33.6509256,-84.3635377
81,Cash Depot Inc,569 Joseph E Lowery Blvd,Atlanta,GA,30310,"569 Joseph E Lowery Blvd,Atlanta,GA,30310 ",33.7395932,-84.4180988
82,Cash Depot Inc,569 Josph E Lwry Boulevard Southwest,Atlanta,GA,30310,"569 Josph E Lwry Boulevard Southwest,Atlanta,GA,30310 ",33.7395932,-84.4180988
83,Cash Mart,3843 Jonesboro Road Southeast,Atlanta,GA,30354,"3843 Jonesboro Road Southeast,Atlanta,GA,30354 ",33.6492595,-84.3664223
84,Cco Consulting Inc,5600 Buford Hwy Ne,Atlanta,GA,30340,"5600 Buford Hwy Ne,Atlanta,GA,30340 ",33.9057595,-84.2742391
85,Check Cash Plus,221 Cleveland Avenue Southwest,Atlanta,GA,30315,"221 Cleveland Avenue Southwest,Atlanta,GA,30315 ",33.6816975,-84.3965607
86,Check Cashers Inc,486 Decatur St Se Ste 4,Atlanta,GA,30312,"486 Decatur St Se Ste 4,Atlanta,GA,30312 ",33.7515956,-84.371843
87,Check Cashers Inc No 1,486 Decatur Street Southeast Suite 4,Atlanta,GA,30312,"486 Decatur Street Southeast Suite 4,Atlanta,GA,30312 ",33.7515956,-84.371843
88,Check Cashing,6776 Highway 85,Atlanta,GA,30303,"6776 Highway 85,Atlanta,GA,30303 ",33.7490944,-84.3858376
89,Check Cashing Protection Systems,5775 Peachtre Dnwdy Road Northeast,Atlanta,GA,30342,"5775 Peachtre Dnwdy Road Northeast,Atlanta,GA,30342 ",33.9117462,-84.3505783
90,Checks Cashed,3461 Roosevelt Highway,Atlanta,GA,30349,"3461 Roosevelt Highway,Atlanta,GA,30349 ",33.6220049,-84.5020037
91,Checks No Problem,335 Cascade Rise Court Southwest,Atlanta,GA,30331,"335 Cascade Rise Court Southwest,Atlanta,GA,30331 ",33.7278898,-84.5648894
92,Clayton County Investigator,Atlanta,Atlanta,GA,30303,"Atlanta,Atlanta,GA,30303 ",33.755711,-84.3883717
93,COMMISSION EXPRESS,5784 Lake Forrest Dr Nw Ste 23,Atlanta,GA,30328,"5784 Lake Forrest Dr Nw Ste 23,Atlanta,GA,30328 ",33.9133757,-84.3888218
94,Community Fincl Svc Ctr Corp,585 Memorial Dr Se,Atlanta,GA,30312,"585 Memorial Dr Se,Atlanta,GA,30312 ",33.7464853,-84.3683892
95,County Bank Of Rehoboth Beach De Dba Xtra Cash,Atlanta,Atlanta,GA,30303,"Atlanta,Atlanta,GA,30303 ",33.755711,-84.3883717
96,Discount Check Cashers,3208 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30311,"3208 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30311 ",33.7518953,-84.4924469
97,Discount Check Cashers,3208 Mlk J,Atlanta,GA,30311,"3208 Mlk J,Atlanta,GA,30311 ",33.7518953,-84.4924469
98,Discount Check Cashing,3599 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30331,"3599 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30331 ",33.759454,-84.5048395
99,Discount Check Cashing,3599 Mlk J,Atlanta,GA,30331,"3599 Mlk J,Atlanta,GA,30331 ",33.759454,-84.5048395
100,DISCOUNT CHECK CASHING AND GRO,3208 Martin Luther King Jr Dr,Atlanta,GA,30311,"3208 Martin Luther King Jr Dr,Atlanta,GA,30311 ",33.7518953,-84.4924469
101,Discount Check Cashing Llc,97 Peachtree Street Southwest,Atlanta,GA,30303,"97 Peachtree Street Southwest,Atlanta,GA,30303 ",33.752103,-84.392579
102,Dye Keith,486 Decatur Street Southeast,Atlanta,GA,30312,"486 Decatur Street Southeast,Atlanta,GA,30312 ",33.7515956,-84.371843
103,E U FINANCIAL SERVICES,20 Broad St Sw,Atlanta,GA,30303,"20 Broad St Sw,Atlanta,GA,30303 ",33.7542567,-84.3913508
104,El Valu Check Cashing,4949 Buford Hwy,Atlanta,GA,30341,"4949 Buford Hwy,Atlanta,GA,30341 ",33.8866124,-84.2863273
105,El Valu Check Cashing,4949 Buford Highway,Atlanta,GA,30341,"4949 Buford Highway,Atlanta,GA,30341 ",33.8866124,-84.2863273
106,Electronic Payment Processing,Atlanta,Atlanta,GA,30303,"Atlanta,Atlanta,GA,30303 ",33.755711,-84.3883717
107,Envios Azteca,5750 Buford Highway Northeast,Atlanta,GA,30340,"5750 Buford Highway Northeast,Atlanta,GA,30340 ",33.9091609,-84.2688826
108,Ethio Check Cashing,2151 Godby Road,Atlanta,GA,30349,"2151 Godby Road,Atlanta,GA,30349 ",33.6167259,-84.4601594
109,Ethio Check Cashing Inc,2151 Godby Rd Ste 13,Atlanta,GA,30349,"2151 Godby Rd Ste 13,Atlanta,GA,30349 ",33.6167259,-84.4601594
110,Friendly Check Cashing,876 Cleveland Avenue,Atlanta,GA,30344,"876 Cleveland Avenue,Atlanta,GA,30344 ",33.6808931,-84.4179185
